Date,Day of the Week,Loadshedding Stage,Energy Consumption (MWh),Temperature (°C),Humidity (%),GDP Growth Rate (%),Population,PV Penetration (%),EV Penetration (Number),Is Holiday
2020-01-27,Monday,6,21524.06953347427,24.236411109207758,60.22027588823154,1.01,59308690,1.0,500,False
2020-01-28,Tuesday,4,21478.80814482041,27.31609047221092,76.3273970343919,1.13,59308690,1.0,500,False
2020-01-29,Wednesday,5,21849.64092383568,23.916346242206053,70.98040300673084,0.82,59308690,1.0,500,False
2020-01-30,Thursday,4,21838.0635597452,21.253805744180237,77.83464609153906,0.96,59308690,1.0,500,False
2020-01-31,Friday,6,19669.15225835454,24.812769906023256,70.05150160711155,0.94,59308690,1.0,500,False
2020-02-01,Saturday,3,15525.72917602977,24.89059016473388,71.31342103459875,0.86,59308690,1.0,500,False
2020-02-02,Sunday,6,14695.456091268214,21.614797255166906,76.74521631292329,0.88,59308690,1.0,500,False
2020-02-03,Monday,5,21749.529857960457,23.524141952246133,63.824412347279974,0.95,59308690,1.0,500,False
2020-02-04,Tuesday,6,20494.7381967951,21.78121893220042,74.70071032097141,0.82,59308690,1.0,500,False
2020-02-05,Wednesday,4,20588.990062280827,24.203595853845233,61.654466324152985,1.02,59308690,1.0,500,False
2020-02-06,Thursday,2,21885.05826140684,26.673133897938545,69.4107189172905,1.06,59308690,1.0,500,False
2020-02-07,Friday,3,21608.643686477553,20.89906141650675,69.41824958665251,0.93,59308690,1.0,500,False
2020-02-08,Saturday,5,15235.29102843235,22.166042138185176,73.57371947074176,1.12,59308690,1.0,500,False
2020-02-09,Sunday,6,15645.458866377436,20.369204964661215,78.11266428854574,0.97,59308690,1.0,500,False
2020-02-10,Monday,2,21056.891473213796,20.295359591241635,77.59150613888545,1.1,59308690,1.0,500,False
2020-02-11,Tuesday,4,21499.77270966155,22.1484794414596,66.39920494088129,1.07,59308690,1.0,500,False
2020-02-12,Wednesday,4,21757.586384526257,20.036582711873933,69.07091023526706,0.95,59308690,1.0,500,False
2020-02-13,Thursday,6,21332.013942592468,22.05278237483781,77.984201390763,1.14,59308690,1.0,500,False
2020-02-14,Friday,0,23201.476924314247,23.704375467130134,72.30371815099421,0.92,59308690,1.0,500,False
2020-02-15,Saturday,0,16511.056480540523,24.41469295044544,77.90983396877567,1.15,59308690,1.0,500,False
2020-02-16,Sunday,1,16383.76491572276,21.3194414777402,64.59753071860469,1.02,59308690,1.0,500,False
2020-02-17,Monday,0,21563.539268755387,22.732913475037478,66.20455690413674,0.89,59308690,1.0,500,False
2020-02-18,Tuesday,6,21283.06384330898,24.003999601037563,64.29904939791112,1.17,59308690,1.0,500,False
2020-02-19,Wednesday,3,21509.35556505015,21.390350773570646,78.69510318496376,1.13,59308690,1.0,500,False
2020-02-20,Thursday,0,22921.213302178818,27.585416939980743,72.50631563695555,1.08,59308690,1.0,500,False
2020-02-21,Friday,4,21735.223500665623,23.773460825894105,75.55365833355778,0.86,59308690,1.0,500,False
2020-02-22,Saturday,1,16131.551677224874,25.44114849949005,72.31986492945956,0.87,59308690,1.0,500,False
2020-02-23,Sunday,4,15149.663142839629,25.818861677860095,67.31934826402451,0.85,59308690,1.0,500,False
2020-02-24,Monday,5,21810.01278857056,21.22395713919458,61.909929090436776,0.92,59308690,1.0,500,False
2020-02-25,Tuesday,5,21600.04566384284,23.77309785208763,71.28549453696056,1.17,59308690,1.0,500,False
2020-02-26,Wednesday,1,23008.620902275463,27.39839078585738,74.97247782903224,1.13,59308690,1.0,500,False
2020-02-27,Thursday,5,21077.002550887464,22.391413876154267,77.55455876975836,1.07,59308690,1.0,500,False
2020-02-28,Friday,4,20617.66012128899,21.716132768762833,60.33587002244177,0.96,59308690,1.0,500,False
2020-02-29,Saturday,6,14678.088942519245,23.82292874998578,61.46821845501604,1.19,59308690,1.0,500,False
2020-03-01,Sunday,6,14060.354380548844,17.482860384502825,57.17079716428913,1.13,59308690,1.0,500,False
2020-03-02,Monday,2,19588.829153469895,14.874036587841951,57.734501962206025,1.07,59308690,1.0,500,False
2020-03-03,Tuesday,6,18283.217495835303,15.973160400073542,51.39966982591844,0.85,59308690,1.0,500,False
2020-03-04,Wednesday,3,18647.034766126613,10.189705099159577,48.27957010617104,1.16,59308690,1.0,500,False
2020-03-05,Thursday,3,18990.26254656446,19.472949577356452,41.53346401022416,1.18,59308690,1.0,500,False
2020-03-06,Friday,1,20609.154092092725,14.77454207273743,52.935750893161796,0.86,59308690,1.0,500,False
2020-03-07,Saturday,0,15149.030098924073,19.56940164060105,56.391408741643176,0.95,59308690,1.0,500,False
2020-03-08,Sunday,6,13874.66702425507,11.739054497403163,54.321784132932535,1.12,59308690,1.0,500,False
2020-03-09,Monday,1,20654.229671865403,17.567891516088174,51.977442096558875,1.2,59308690,1.0,500,False
2020-03-10,Tuesday,5,19437.001224194635,19.296468216672583,46.93793437424145,0.96,59308690,1.0,500,False
2020-03-11,Wednesday,2,19635.407867003807,19.38846747397058,55.41321854372946,1.12,59308690,1.0,500,False
2020-03-12,Thursday,6,17943.55197545993,16.940321847255408,49.211208594967765,0.92,59308690,1.0,500,False
2020-03-13,Friday,1,19285.02658497598,14.39748067335685,41.5429068562135,1.15,59308690,1.0,500,False
2020-03-14,Saturday,6,13500.0,12.95257559830415,57.05935904507371,0.91,59308690,1.0,500,False
2020-03-15,Sunday,5,14394.134481787014,17.170368374589614,49.87077241294183,1.03,59308690,1.0,500,False
2020-03-16,Monday,5,18854.52790458161,15.541387932766675,58.060996071654756,1.15,59308690,1.0,500,False
2020-03-17,Tuesday,4,19305.70491326305,14.254240019135715,54.11821833585211,0.88,59308690,1.0,500,False
2020-03-18,Wednesday,0,20226.31125236833,15.893122741892398,40.07208209523317,0.93,59308690,1.0,500,False
2020-03-19,Thursday,2,20432.118617263837,15.12341935663672,48.20406050718337,1.17,59308690,1.0,500,False
2020-03-20,Friday,0,20777.791378742055,15.981382907862383,45.75992618251424,0.93,59308690,1.0,500,False
2020-03-21,Saturday,3,14176.730782208224,11.176926782237196,54.014315843752726,0.82,59308690,1.0,500,True
2020-03-22,Sunday,0,14657.113531812878,17.443388065266042,44.91553216190059,1.16,59308690,1.0,500,False
2020-03-23,Monday,6,17822.191196766413,10.715825026936853,45.809931831960114,1.16,59308690,1.0,500,False
2020-03-24,Tuesday,3,19514.337339823916,11.469663117305682,56.67253702259658,0.94,59308690,1.0,500,False
2020-03-25,Wednesday,1,20767.465817804627,12.330155453643385,59.02638110345259,1.05,59308690,1.0,500,False
2020-03-26,Thursday,2,19731.894549802557,19.002089403095752,45.848860002441846,1.15,59308690,1.0,500,False
2020-03-27,Friday,6,17924.198355602508,10.601213237025409,49.48730236183334,1.14,59308690,1.0,500,False
2020-03-28,Saturday,1,14708.52352067276,18.366003721035568,41.317616079731394,1.12,59308690,1.0,500,False
2020-03-29,Sunday,4,14319.497853031115,16.022248162784578,54.79926835954594,1.11,59308690,1.0,500,False
2020-03-30,Monday,0,20310.668775748494,11.560637780997325,45.53387766533958,0.94,59308690,1.0,500,False
2020-03-31,Tuesday,0,19964.99371523631,13.036442036401935,52.12844955253924,1.08,59308690,1.0,500,False
2020-04-01,Wednesday,5,18091.624092945756,16.340290495362748,43.816832451000614,0.89,59308690,1.0,500,False
2020-04-02,Thursday,5,18441.04879889301,14.400194195588004,48.7010510632722,1.07,59308690,1.0,500,False
2020-04-03,Friday,5,19075.07952302373,13.469906178702733,44.910700372987954,1.15,59308690,1.0,500,False
2020-04-04,Saturday,6,13500.0,12.760201410378759,42.90248681015836,1.06,59308690,1.0,500,False
2020-04-05,Sunday,0,15015.409895212973,13.502215218749333,55.65453129318868,0.97,59308690,1.0,500,False
2020-04-06,Monday,4,18918.811378452458,13.274124633617483,42.091718409919906,1.14,59308690,1.0,500,False
2020-04-07,Tuesday,1,19573.49141321973,12.708301424864784,56.98441286874073,1.2,59308690,1.0,500,False
2020-04-08,Wednesday,0,20459.691196137257,14.480536176189556,44.59216054144311,1.0,59308690,1.0,500,False
2020-04-09,Thursday,6,18937.818795627045,14.41323392093145,53.51805196930375,1.19,59308690,1.0,500,False
2020-04-10,Friday,1,20091.49755528732,14.640092997969703,41.17044833931676,1.04,59308690,1.0,500,False
2020-04-11,Saturday,5,13500.0,15.421099610726781,49.066353053685134,0.97,59308690,1.0,500,False
2020-04-12,Sunday,4,13688.007067436289,12.570281011435615,43.90695918727801,0.85,59308690,1.0,500,False
2020-04-13,Monday,1,20034.72081570404,15.169096023985443,42.9870689786031,0.98,59308690,1.0,500,False
2020-04-14,Tuesday,5,19590.944223895996,17.367532639688953,46.7719646986067,1.15,59308690,1.0,500,False
2020-04-15,Wednesday,5,18727.230592079923,14.271849857448423,56.979121850271966,1.17,59308690,1.0,500,False
2020-04-16,Thursday,2,19394.86419334735,17.821307153795146,59.479014561099206,1.09,59308690,1.0,500,False
2020-04-17,Friday,2,19333.770680574547,18.61857072557804,56.89331712635018,1.14,59308690,1.0,500,False
2020-04-18,Saturday,1,14734.306880846869,12.963517373031205,47.42725087047151,0.94,59308690,1.0,500,False
2020-04-19,Sunday,5,13926.673513286076,19.779941082196988,43.92854805496071,0.99,59308690,1.0,500,False
2020-04-20,Monday,1,20836.318464623368,18.62780363405333,51.33089443354065,0.86,59308690,1.0,500,False
2020-04-21,Tuesday,5,19645.849252297052,16.17638388793162,41.22837886818125,1.16,59308690,1.0,500,False
2020-04-22,Wednesday,1,20106.094677177432,17.025444747046315,43.07794720941533,0.81,59308690,1.0,500,False
2020-04-23,Thursday,0,19511.659556045866,12.11978749848814,53.6522529422597,0.91,59308690,1.0,500,False
2020-04-24,Friday,0,20289.96147380563,19.46838091138156,52.90275058051479,1.16,59308690,1.0,500,False
2020-04-25,Saturday,0,15475.890960371577,19.442984021775843,56.161763038455945,0.88,59308690,1.0,500,False
2020-04-26,Sunday,3,14675.054536309803,15.902625974903394,54.746911535389295,0.81,59308690,1.0,500,False
2020-04-27,Monday,0,14114.416753311703,18.919992123397755,51.41142045690126,0.91,59308690,1.0,500,True
2020-04-28,Tuesday,0,19553.874780125385,15.090079612273158,46.38295006580765,0.91,59308690,1.0,500,False
2020-04-29,Wednesday,5,18620.297217107047,14.464855922684016,53.81426335174501,1.12,59308690,1.0,500,False
2020-04-30,Thursday,6,18232.867698687096,13.054427750492042,46.22307878234491,1.05,59308690,1.0,500,False
2020-05-01,Friday,0,14114.416753311703,15.795218441015663,44.895121941723325,0.99,59308690,1.0,500,True
2020-05-02,Saturday,1,14822.99320881877,13.126326808992829,50.24006581319501,0.94,59308690,1.0,500,False
2020-05-03,Sunday,4,13500.0,16.70126298686204,42.52010809065319,1.09,59308690,1.0,500,False
2020-05-04,Monday,0,21272.317021355506,16.943102237733054,53.87512974829252,1.15,59308690,1.0,500,False
2020-05-05,Tuesday,1,19812.0595793933,12.122398797768435,48.01581773318807,0.8,59308690,1.0,500,False
2020-05-06,Wednesday,6,19116.80379833454,15.423029212815694,54.85582677585395,0.8,59308690,1.0,500,False
2020-05-07,Thursday,3,18790.096225086065,15.097753583380717,43.11827089651295,1.15,59308690,1.0,500,False
2020-05-08,Friday,2,18932.40560398711,14.333661994619543,51.872415296147835,1.2,59308690,1.0,500,False
2020-05-09,Saturday,6,13500.0,18.56319607807199,58.46989530732417,1.13,59308690,1.0,500,False
2020-05-10,Sunday,0,14706.812434883617,16.751265048128925,59.83955676314061,0.97,59308690,1.0,500,False
2020-05-11,Monday,5,18367.73145195371,11.50545002211938,59.65490192836361,1.13,59308690,1.0,500,False
2020-05-12,Tuesday,5,19327.754232485153,14.685307269571055,52.885068327866136,0.88,59308690,1.0,500,False
2020-05-13,Wednesday,3,20149.846678520484,12.123497409227793,47.53619044967507,0.93,59308690,1.0,500,False
2020-05-14,Thursday,3,20160.260491499543,19.53575917548821,51.33750061682308,0.92,59308690,1.0,500,False
2020-05-15,Friday,1,19433.481059593832,11.596154284634082,40.80126259975717,0.91,59308690,1.0,500,False
2020-05-16,Saturday,1,14932.767396689005,11.113709107796264,51.586571379616004,1.2,59308690,1.0,500,False
2020-05-17,Sunday,3,14265.704783343506,16.448133644645047,47.27386491277268,0.97,59308690,1.0,500,False
2020-05-18,Monday,1,20369.25468933943,12.985784572479716,47.97030332796711,1.06,59308690,1.0,500,False
2020-05-19,Tuesday,6,18645.284479306512,12.783821519365247,52.723690724933036,1.05,59308690,1.0,500,False
2020-05-20,Wednesday,5,18175.150485339822,10.61162218147026,53.99062479849336,1.04,59308690,1.0,500,False
2020-05-21,Thursday,5,19011.9389597137,18.164293798303895,53.767684897132725,0.87,59308690,1.0,500,False
2020-05-22,Friday,3,18681.08817438075,18.643046757608772,51.51745303996695,1.06,59308690,1.0,500,False
2020-05-23,Saturday,2,14024.383400276958,19.708870443906306,58.09739021399902,0.98,59308690,1.0,500,False
2020-05-24,Sunday,5,13959.41553259068,15.194465707453913,56.51329187130535,1.09,59308690,1.0,500,False
2020-05-25,Monday,5,19235.68198299799,15.555620985638605,43.8372001397346,0.84,59308690,1.0,500,False
2020-05-26,Tuesday,3,19452.738692619987,16.033493314228245,46.412670890047245,1.07,59308690,1.0,500,False
2020-05-27,Wednesday,1,19604.094660053197,11.142571870766261,41.45494463519885,1.19,59308690,1.0,500,False
2020-05-28,Thursday,3,18646.06218036094,18.70577799141163,58.016934823984315,1.15,59308690,1.0,500,False
2020-05-29,Friday,4,18719.384791699747,14.14479626719643,53.07160732405852,0.85,59308690,1.0,500,False
2020-05-30,Saturday,4,13500.0,17.610329512037826,47.576950856277726,0.94,59308690,1.0,500,False
2020-05-31,Sunday,5,13500.0,17.055444239970893,54.11754376470593,1.1,59308690,1.0,500,False
2020-06-01,Monday,4,21327.799413168806,4.357731998718318,37.873001562963054,1.1,59308690,1.0,500,False
2020-06-02,Tuesday,3,23032.557907133614,13.74592069433545,35.68354731692013,1.08,59308690,1.0,500,False
2020-06-03,Wednesday,6,22494.380902667064,10.804561945651527,39.26802971235125,0.95,59308690,1.0,500,False
2020-06-04,Thursday,1,22383.751810548405,13.077677907412257,29.812134762107718,1.19,59308690,1.0,500,False
2020-06-05,Friday,4,22549.383755060273,10.599772041234653,28.10517605780958,1.17,59308690,1.0,500,False
2020-06-06,Saturday,2,17026.008072992117,9.831957748739473,37.90769327522489,1.1,59308690,1.0,500,False
2020-06-07,Sunday,3,16585.631670479488,12.893967377292654,25.193677282049606,0.86,59308690,1.0,500,False
2020-06-08,Monday,4,21874.005175491944,10.517644708733682,23.844473973489706,0.88,59308690,1.0,500,False
2020-06-09,Tuesday,3,22552.54106834215,7.883611691310614,30.818067127309625,1.1,59308690,1.0,500,False
2020-06-10,Wednesday,0,23649.117391129825,14.234484630966955,37.32692543357889,0.85,59308690,1.0,500,False
2020-06-11,Thursday,1,22653.835161537405,14.748373788748783,35.49398706544494,0.95,59308690,1.0,500,False
2020-06-12,Friday,3,21743.5702967134,9.462817078453579,24.740511311581702,0.99,59308690,1.0,500,False
2020-06-13,Saturday,6,15226.713865380998,13.353303597162746,36.882569661712736,1.04,59308690,1.0,500,False
2020-06-14,Sunday,0,17033.877235843433,8.054059043457297,36.33890779276314,0.87,59308690,1.0,500,False
2020-06-15,Monday,6,21191.107595262838,10.682697159355083,21.858832110608997,1.17,59308690,1.0,500,False
2020-06-16,Tuesday,2,14114.416753311703,8.184503974075875,23.453918758221818,0.87,59308690,1.0,500,True
2020-06-17,Wednesday,2,22549.800839602678,10.10830532044205,22.941756832655262,1.19,59308690,1.0,500,False
2020-06-18,Thursday,1,23421.90472841414,5.668676452988804,23.47965777389111,0.91,59308690,1.0,500,False
2020-06-19,Friday,1,22271.40144071388,5.167456405210666,28.68472565537771,1.03,59308690,1.0,500,False
2020-06-20,Saturday,3,17296.39828915798,10.741886051116632,36.14887585300204,1.0,59308690,1.0,500,False
2020-06-21,Sunday,2,16732.15607862542,9.669399273062947,25.99498818114949,1.11,59308690,1.0,500,False
2020-06-22,Monday,6,22198.877207641908,13.033586724813714,33.619887711505655,1.15,59308690,1.0,500,False
2020-06-23,Tuesday,0,23044.802617387028,8.0817006339263,21.861051024235543,0.87,59308690,1.0,500,False
2020-06-24,Wednesday,2,23028.043056579634,4.7138983787039885,34.31659901335706,1.03,59308690,1.0,500,False
2020-06-25,Thursday,6,21644.558668525297,4.31941469344993,32.27382292213637,1.04,59308690,1.0,500,False
2020-06-26,Friday,6,22127.6838577174,7.722742177519121,22.242775848070806,1.09,59308690,1.0,500,False
2020-06-27,Saturday,6,16469.74842023999,10.503580170964838,29.080714360868214,0.89,59308690,1.0,500,False
2020-06-28,Sunday,4,15928.5042532833,10.023243541724135,29.114620194666905,0.95,59308690,1.0,500,False
2020-06-29,Monday,2,23828.292947136495,10.569257887164184,24.357975563130914,1.05,59308690,1.0,500,False
2020-06-30,Tuesday,6,20897.646623937973,6.072381136561852,31.524225134412582,0.81,59308690,1.0,500,False
2020-07-01,Wednesday,2,22138.879784457033,9.683823178950174,31.700549266937657,1.09,59308690,1.0,500,False
2020-07-02,Thursday,4,23198.160438269304,9.487998455471285,39.99412110964902,0.93,59308690,1.0,500,False
2020-07-03,Friday,1,23607.393239770834,14.828185385691308,20.904631806018223,1.12,59308690,1.0,500,False
2020-07-04,Saturday,1,17741.508459012868,4.106967984415478,36.487637378973545,0.84,59308690,1.0,500,False
2020-07-05,Sunday,6,15268.08239170272,14.639798310147814,30.74296794057244,1.04,59308690,1.0,500,False
2020-07-06,Monday,1,22834.43890786906,8.538874060220348,35.236612695575076,0.82,59308690,1.0,500,False
2020-07-07,Tuesday,6,22413.867793563895,14.502114731920209,20.88196487611331,0.87,59308690,1.0,500,False
2020-07-08,Wednesday,4,22055.29975568572,7.1855029787230205,33.65535307853861,0.87,59308690,1.0,500,False
2020-07-09,Thursday,1,22522.50313071056,4.32603350958741,36.8097474225506,1.05,59308690,1.0,500,False
2020-07-10,Friday,0,23178.424911225356,7.443172140236998,25.130531434640606,1.11,59308690,1.0,500,False
2020-07-11,Saturday,0,17776.25321731733,10.763412199539294,26.011654968694778,0.99,59308690,1.0,500,False
2020-07-12,Sunday,0,16974.463732941294,4.8694756617017365,36.02235876549466,0.93,59308690,1.0,500,False
2020-07-13,Monday,0,23425.530904095067,13.065065172658901,32.91972150108358,1.05,59308690,1.0,500,False
2020-07-14,Tuesday,0,23768.170694160137,12.715292434740466,33.926690068809904,1.18,59308690,1.0,500,False
2020-07-15,Wednesday,5,21353.664076003544,9.088057257651078,31.394120159667082,0.98,59308690,1.0,500,False
2020-07-16,Thursday,0,22851.657906305703,11.573032465944339,36.256714438841826,1.18,59308690,1.0,500,False
2020-07-17,Friday,2,23135.8908825303,6.86137228476054,37.556555098069495,1.15,59308690,1.0,500,False
2020-07-18,Saturday,1,17461.401088207364,13.743166948088522,26.158062844204014,0.97,59308690,1.0,500,False
2020-07-19,Sunday,5,16001.194386480483,11.961854440441968,37.22441191705214,0.91,59308690,1.0,500,False
2020-07-20,Monday,2,23970.860572086764,11.969615871872175,30.08890971477385,0.88,59308690,1.0,500,False
2020-07-21,Tuesday,5,22215.04114814538,14.712615096817162,20.133278480071198,0.84,59308690,1.0,500,False
2020-07-22,Wednesday,3,22532.970391599854,9.407109236263484,20.801631209742396,1.05,59308690,1.0,500,False
2020-07-23,Thursday,3,21734.768139738855,9.04294856293416,38.200125684473896,1.13,59308690,1.0,500,False
2020-07-24,Friday,6,21461.620334940813,8.9687476665322,20.57295830760667,1.05,59308690,1.0,500,False
2020-07-25,Saturday,6,15791.149367920905,8.25164101296416,34.4633996621543,1.13,59308690,1.0,500,False
2020-07-26,Sunday,5,15824.841409651399,14.4712732981563,37.85104700961445,1.14,59308690,1.0,500,False
2020-07-27,Monday,2,22918.649803558004,5.683832693013769,34.791732261917076,0.95,59308690,1.0,500,False
2020-07-28,Tuesday,6,21697.093855222873,13.493851427047957,29.117404269274765,1.05,59308690,1.0,500,False
2020-07-29,Wednesday,4,21465.376286362356,7.2700288441272605,28.475042669468557,0.91,59308690,1.0,500,False
2020-07-30,Thursday,2,23248.330725268854,7.230125939277013,21.706192764473467,0.91,59308690,1.0,500,False
2020-07-31,Friday,5,22415.3066985013,13.723384966850773,26.465282004265923,1.2,59308690,1.0,500,False
2020-08-01,Saturday,1,16639.09641139776,10.753184623078225,26.153340286833362,0.84,59308690,1.0,500,False
2020-08-02,Sunday,6,15257.370594799984,8.4147235091992,20.30321397536568,0.89,59308690,1.0,500,False
2020-08-03,Monday,6,20781.57973773969,6.691070084856892,20.682651196642286,0.95,59308690,1.0,500,False
2020-08-04,Tuesday,1,24228.518433556626,5.682052842443972,32.5479002437108,1.1,59308690,1.0,500,False
2020-08-05,Wednesday,6,22043.170969717758,8.593119274294217,33.299693020170885,1.01,59308690,1.0,500,False
2020-08-06,Thursday,2,23714.320408206473,14.658992068376202,23.700265015813645,0.93,59308690,1.0,500,False
2020-08-07,Friday,1,22349.218955024306,8.813555303286762,25.280764980115137,1.07,59308690,1.0,500,False
2020-08-08,Saturday,1,16815.37052597288,5.499843803054967,27.943270789747153,0.92,59308690,1.0,500,False
2020-08-09,Sunday,3,16641.50665214124,13.573457104163623,24.388221686669354,1.04,59308690,1.0,500,True
2020-08-10,Monday,1,23348.6989805411,8.278555376086858,20.44422807153716,0.96,59308690,1.0,500,False
2020-08-11,Tuesday,2,22645.941582411717,12.039246621893048,24.840261981594733,0.98,59308690,1.0,500,False
2020-08-12,Wednesday,1,23000.08943783029,5.222711249046643,22.644689442150995,0.9,59308690,1.0,500,False
2020-08-13,Thursday,4,22274.0906788887,11.525875284884734,31.462956002319356,0.97,59308690,1.0,500,False
2020-08-14,Friday,6,21038.435544718177,12.485854020711773,28.45675699520018,1.19,59308690,1.0,500,False
2020-08-15,Saturday,6,15912.033899073358,7.174951159037742,27.756082287155976,0.81,59308690,1.0,500,False
2020-08-16,Sunday,6,15345.815874264901,7.792426717262234,28.45021907665831,1.14,59308690,1.0,500,False
2020-08-17,Monday,0,24125.043357306033,7.636442497445557,37.99415313635784,0.89,59308690,1.0,500,False
2020-08-18,Tuesday,2,23581.450846073265,12.978594612385306,21.292542209331682,1.11,59308690,1.0,500,False
2020-08-19,Wednesday,2,22798.30743207877,5.9562382467706865,30.887916081980517,0.83,59308690,1.0,500,False
2020-08-20,Thursday,5,21112.214983614318,5.8440877501309,20.718427893385304,0.86,59308690,1.0,500,False
2020-08-21,Friday,5,22339.57587259893,13.945754072925178,39.006076600626066,0.85,59308690,1.0,500,False
2020-08-22,Saturday,5,15983.989028115957,10.703165011405556,37.28517289087873,1.12,59308690,1.0,500,False
2020-08-23,Sunday,2,17294.369214076974,10.990229983150602,38.13712461438302,0.98,59308690,1.0,500,False
2020-08-24,Monday,2,22592.934390791263,5.571760701115332,27.209523239409094,0.86,59308690,1.0,500,False
2020-08-25,Tuesday,5,21801.012174360745,6.240039144755832,25.33667633126376,0.84,59308690,1.0,500,False
2020-08-26,Wednesday,3,22622.690873580814,10.540060507320739,31.84076898162109,0.84,59308690,1.0,500,False
2020-08-27,Thursday,3,23235.39359615872,10.581675433409096,20.805923115842507,0.86,59308690,1.0,500,False
2020-08-28,Friday,6,22472.4640897801,14.187552742795736,34.458248284864254,1.18,59308690,1.0,500,False
2020-08-29,Saturday,1,17265.522210822826,12.302172218363282,34.39742403994746,0.9,59308690,1.0,500,False
2020-08-30,Sunday,2,16375.54444115003,9.454836960033624,30.81524955826154,1.02,59308690,1.0,500,False
2020-08-31,Monday,1,23887.80986413387,14.398179827047043,26.028191808296487,1.1,59308690,1.0,500,False
2020-09-01,Tuesday,5,18867.871321304912,24.886283650406067,45.09048029148705,0.98,59308690,1.0,500,False
2020-09-02,Wednesday,1,20790.75108994912,18.47168158240422,41.943795327824574,0.82,59308690,1.0,500,False
2020-09-03,Thursday,3,18998.229301259533,16.77074340823028,43.97608895374891,1.15,59308690,1.0,500,False
2020-09-04,Friday,1,19564.961235504077,23.033832181555237,54.01406070022361,1.15,59308690,1.0,500,False
2020-09-05,Saturday,4,14022.24179645688,16.65501026651954,43.67616569685358,0.97,59308690,1.0,500,False
2020-09-06,Sunday,2,14128.861271746578,16.030253776512875,46.47056583515667,1.06,59308690,1.0,500,False
2020-09-07,Monday,6,18119.251463141678,15.584351091952419,58.88154620498946,0.88,59308690,1.0,500,False
2020-09-08,Tuesday,2,20637.194654726612,19.78998430143509,49.780930022007574,0.86,59308690,1.0,500,False
2020-09-09,Wednesday,4,18509.48359420582,17.8150632281124,55.962724719689824,0.89,59308690,1.0,500,False
2020-09-10,Thursday,5,17999.395860351142,15.155806324700357,51.52376070519576,0.84,59308690,1.0,500,False
2020-09-11,Friday,4,19054.979417198592,18.73311138657134,56.339179309590364,0.89,59308690,1.0,500,False
2020-09-12,Saturday,5,13824.510478473756,15.795585257177802,54.89148873119228,1.04,59308690,1.0,500,False
